"","scrubbed_family","scrubbed_genus","log_pet_leafarea","count","fit","upr","lwr"
"1688","Fagaceae","Fagopsis",-6.02685506881853,357,4.96335099370209,5.68767734422198,4.22032612526756
"1689","Fagaceae","Fagopsis",-6.6848869655424,357,4.73360694346859,5.51629127964071,3.98613392222825
"1690","Fagaceae","Fagopsis",-6.38321789257408,357,4.87454719511102,5.56967873796716,4.09597793793288
"1691","Fagaceae","Fagopsis",-7.06200846406288,357,4.62359090707728,5.36304777036438,3.83199790648218
"1692","Fabaceae","",-5.88176350517849,45,4.70654838053467,5.44060589231605,3.91685440298639
"1695","Rosaceae","",-5.79283404050742,159,4.75610396215033,5.50650852381877,4.02251886959362
"1696","Rosaceae","",-6.47404485223368,159,4.52278314915623,5.26052549824109,3.79743388692525
"1697","Rosaceae","",-7.75575438518473,159,3.95796479005962,4.74079808974333,3.23371315317908
"1698","Fagaceae","Quercus",-6.88623843551989,357,4.67449890995122,5.46519172431693,3.87570950149901
"1699","Fagaceae","Quercus",-6.79967247212371,357,4.69874349896915,5.38664129484351,3.94635181896112
"1700","Rosaceae","Rosa",-7.23384143811738,159,4.19471396627977,4.99009819583741,3.48980513955105
"1701","Rosaceae","Rosa",-6.75251462196733,159,4.37904383149839,5.09840521856748,3.65400103093944
"1702","Rosaceae","Rosa",-6.88261203623347,159,4.3510919569797,5.11086786567355,3.60717611635486
"1703","Rosaceae","Rosa",-7.09470794281744,159,4.23427774593227,4.98918818285923,3.4896659206246
"1704","Rosaceae","Rosa",-6.42485146605953,159,4.50815461979052,5.25182265807132,3.82307168368095
"1709","Fabaceae","",-4.38219952961935,45,5.30361891679389,6.08626184828663,4.56027870424981
"1710","Rosaceae","Spiraea",-6.22522172420681,159,4.56875696492132,5.33731723909319,3.82425133545495
"1711","Rosaceae","Spiraea",-6.47642556241232,159,4.49368716529104,5.29964915088652,3.68935095721676
"1712","Rosaceae","Spiraea",-6.18521969904791,159,4.6194454929078,5.37086280280482,3.87182259289112
"1713","Rosaceae","Spiraea",-5.35570286499327,159,4.91615749012824,5.6460498004385,4.22092244200521
"1924","Betulaceae","Alnus",-5.51773686077876,403,4.88704300516556,5.65064047369224,4.13423143966454
"1932","Cornaceae","Cornus",-7.62954270378722,7,3.95165483129485,4.73303559406684,3.19214653734266
"1933","Cornaceae","Cornus",-6.93341570975748,7,4.27896865161536,5.00420170796468,3.50362366285652
"1934","Cornaceae","Cornus",-6.3802985223843,7,4.47147367893088,5.17543509540413,3.68898395757554
"1935","Salicaceae","Populus",-6.3052371020485,79,4.79831453758602,5.60273492580447,4.03091063095098
"1936","Rosaceae","Prunus",-6.47682712343744,159,4.52037399546427,5.28054704752773,3.74999284795848
"1937","Rosaceae","Pyracantha",-6.78512268811714,159,4.37361306912313,5.07890893445405,3.59281508467451
"1938","Rosaceae","Pyracantha",-5.82782610449893,159,4.76675547343711,5.50171662022359,3.97427112428304
"1939","Rosaceae","Pyracantha",-4.64451525087273,159,5.22412165057839,5.98504820077265,4.47796689606675
"1940","Salicaceae","Salix",-8.02729196389401,79,4.26286802484206,4.99437669345797,3.46947115275256
"1941","Salicaceae","Pseudosalix",-6.08019041117281,79,4.84562531405184,5.62708039623932,4.09032495106553
"1942","Salicaceae","Pseudosalix",-5.9624973761564,79,4.90599615739606,5.69329680806639,4.06386602101814
"1943","Salicaceae","Pseudosalix",-6.01514963741942,79,4.88237185932924,5.66298701856641,4.13563762615223
"1944","Salicaceae","Pseudosalix",-6.89926442849407,79,4.63032278457249,5.36460327247861,3.85078007066677
"1965","Vitaceae","Vitis",-8.1905476504342,2,3.72503748754977,4.50775299329196,2.88691027135313
"1966","Rosaceae","Crataegus",-7.46468941576025,159,4.08137262592869,4.81585974345592,3.3606129816712
"1967","Rosaceae","Crataegus",-6.50683715944271,159,4.50077576644879,5.24369968820147,3.73396605509592
"1968","Rosaceae","Crataegus",-7.54488324990446,159,4.08288232834124,4.84577689011891,3.3615065101155
"1969","Betulaceae","Alnus",-7.47222608346042,403,4.10795662658277,4.92958960757881,3.40517515748113
"1970","Betulaceae","Alnus",-7.36287502480934,403,4.16789872993242,4.9238185041395,3.40557312766604
"1971","Betulaceae","Alnus",-6.15839223975896,403,4.6115745874703,5.37583189478955,3.86578679371975
"1972","Betulaceae","Alnus",-7.26699780204714,403,4.18769118193445,4.99318064768544,3.39536379060465
"1973","Betulaceae","Alnus",-6.15653118986103,403,4.62559826983987,5.3484313006406,3.89913299316501
"1974","Betulaceae","Alnus",-6.56680522562022,403,4.46727276100125,5.23047577606586,3.68318398044622
"1975","Betulaceae","Alnus",-7.17551316289915,403,4.28870283012442,5.05268634740177,3.47848994074559
"1976","Betulaceae","Alnus",-6.85157534369623,403,4.36728899674744,5.07776703733178,3.58280601964451
"1977","Betulaceae","Alnus",-7.01984057761483,403,4.28704707831604,5.05929393916054,3.48989413406535
"1978","Betulaceae","Alnus",-7.4751547815796,403,4.10175920132,4.85990246216738,3.33429398869679
"1979","Betulaceae","Alnus",-7.21396662978308,403,4.22384347933339,4.97702207116212,3.4666186690627
"1980","Betulaceae","Alnus",-7.91169213470964,403,3.94122879987186,4.69539264792235,3.16376039455735
"1981","Betulaceae","Alnus",-6.80367007619017,403,4.36115964759222,5.10169621627184,3.61265763243203
"1982","Betulaceae","Alnus",-6.78710613232646,403,4.39733463727525,5.1345954682416,3.61409244460767
"1983","Betulaceae","Alnus",-5.60229794092074,403,4.85082382457811,5.59710329669052,4.09195110277683
"1984","Betulaceae","Alnus",-7.93508092886006,403,3.94118226558263,4.735179526573,3.20844809887026
"1985","Betulaceae","Alnus",-7.5868259994149,403,4.07775441644952,4.85235396082243,3.27579023727892
"1986","Betulaceae","Alnus",-5.87087762379887,403,4.76904829249907,5.50143872321923,3.96375379495587
"1987","Betulaceae","Alnus",-6.68816121966799,403,4.41187128246362,5.18100511474893,3.65262113157432
"1988","Betulaceae","Alnus",-7.03647085770421,403,4.28615296542233,5.03638077660559,3.51966121485816
"1989","Betulaceae","Alnus",-6.99596045918043,403,4.30726744788416,5.06894871382954,3.61915992621693
"1990","Betulaceae","Alnus",-6.48751650751536,403,4.46705467266061,5.25768631777928,3.73170592880753
"1991","Betulaceae","Alnus",-7.25561915464232,403,4.18138764341129,4.93463725359397,3.39008572137543
"1992","Betulaceae","Alnus",-7.01885892153376,403,4.29865862491532,5.05068518688631,3.48736317057163
"1993","Betulaceae","Alnus",-7.62963943957203,403,4.05508098447353,4.90300560329523,3.2977622266803
"1994","Betulaceae","Alnus",-7.15151871645759,403,4.2259218024274,5.01756003943278,3.48389703275455
"1995","Betulaceae","Alnus",-7.32909675225114,403,4.20114287707788,4.95294201044524,3.4245554233332
