"","scrubbed_genus","species","avg_petiole_width","avg_LMA","avg_LA","log_lma","log_pet_leafarea","class","superorder","order","scrubbed_family","count"
"202","Lyonia","ferruginea",1.005,131.7,539.4,4.88052660874924,-6.28048232768355,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"203","Lyonia","ligustrina",1.1,49.2,1528.5,3.89589362349826,-7.14142178172224,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"204","Lyonia","ligustrina",1.08,98,670.3,4.58496747867057,-6.35380329109165,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"205","Lyonia","lucida",1.87,96.1,1630.4,4.56538931597625,-6.14470380073547,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"206","Lyonia","mariana",1.23,106.4,777.6,4.66720557690754,-6.24218391437758,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"207","Mabea","occidentalis",1.11,91,1401.9,4.51085950651685,-7.036863707726,"Equisetopsida","Rosanae","Malpighiales","Euphorbiaceae",12
"208","Maquira","costaricana",1.82,31.4,9743.9,3.44680789291421,-7.98672372499383,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"209","Melaleuca","squarrosa",1.26,148.6,52.6,5.00125813228366,-3.50049267781689,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"210","Melaleuca","uncinata",0.8,373,32.4,5.92157841964382,-3.9244455254267,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"211","Metrosideros","polymorpha",1.82,152.3,787.5,5.02585225990112,-5.47119036852238,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"212","Monanthotaxis","caffra",1.4,46.4,1488.7,3.83729945923221,-6.63271406164059,"Equisetopsida","Magnolianae","Magnoliales","Annonaceae",7
"213","Monotoca","glauca",0.75,166.3,39.2,5.11379338619888,-4.24404089169998,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"214","Morus","rubra",1.155,32.35,11698.95,3.47661402094691,-9.07905368522139,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"215","Myrcia","gatunensis",1.05,68.3,1597.8,4.22390976657674,-7.27880263370908,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"216","Myrtus","communis",0.81,103,338.1,4.63472898822964,-6.24478377234515,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"217","Nematolepis","squamea",1.16,139.5,403.3,4.93806460126142,-5.70284069164278,"Equisetopsida","Rosanae","Sapindales","Rutaceae",10
"218","Nemopanthus","mucronatus",0.5,42.1,526,3.74004774068834,-7.6515955738576,"Equisetopsida","Asteranae","Aquifoliales","Aquifoliaceae",7
"219","Nerium","oleander",2.82,150.2,2938.9,5.01196773933003,-5.91231687076137,"Equisetopsida","Asteranae","Gentianales","Apocynaceae",5
"220","Nestegis","sandwicensis",2.72,224.4,2743.3,5.41343017364854,-5.91565309364509,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
"221","Nyssa","aquatica",1.55,69.2,2717.2,4.23700086262362,-7.03084735545484,"Equisetopsida","Asteranae","Cornales","Cornaceae",7
"222","Nyssa","aquatica",1.295,43.6,5014.8,3.77505715035499,-8.00312742893887,"Equisetopsida","Asteranae","Cornales","Cornaceae",7
"223","Nyssa","sylvatica",1.142,46.06,2548.8,3.82994489439254,-7.57781571668815,"Equisetopsida","Asteranae","Cornales","Cornaceae",7
"224","Ocotea","cernua",1.33,56.1,3820.6,4.02713581252865,-7.67780487286223,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"225","Olea","europaea",1.07,164.2,525.1,5.10108519701833,-6.12827142369618,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
"226","Olearia","argophylla",2.12,120,3123.6,4.78749174278205,-6.54390928442068,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"227","Olearia","elliptica",1.4,93.7,690.7,4.54009818924438,-5.8647611028525,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"228","Olearia","persoonioides",1.13,180.7,174.1,5.19683819759818,-4.91519458132565,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"229","Olmedia","aspera",1.94,50.5,21147.1,3.92197333628131,-8.63388211308347,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"230","Orites","acicularis",0.62,545.5,33,6.30170280527313,-4.45257916335248,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"231","Orites","milliganii",1.5,299.6,264.5,5.70244825164306,-4.76691103508203,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"232","Orites","revoluta",0.86,421.3,28.6,6.04334516898497,-3.65505249729497,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"233","Osmanthus","americanus",2.04666666666667,139.8,2569.13333333333,4.94021282979971,-6.41889898965054,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
"234","Ostrya","virginiana",0.87875,42.625,2231.425,3.75244093560368,-7.96890534553944,"Equisetopsida","Rosanae","Fagales","Betulaceae",7
"235","Oxydendrum","arboreum",0.6,31.5,2161.2,3.44998754583159,-8.70007014950189,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"236","Oxylobium","ellipticum",1.05,153.8,151.1,5.03565305707154,-4.92036154093983,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"237","Persea","borbonia",1.4625,110.125,2074.225,4.70161608425634,-6.8770482686749,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"238","Persea","sp",1.06,162,663,5.08759633523238,-6.38023717393791,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"239","Persoonia","gunnii",1.575,239.05,120.5,5.47667273507211,-3.88313920837552,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"240","Persoonia","gunnii",1.575,239.05,120.5,5.47667273507211,-3.88313920837552,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"241","Persoonia","lanceolata",1.5,233,544.3,5.4510384535657,-5.48857034922383,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"242","Persoonia","lanceolata",1.5,233,544.3,5.4510384535657,-5.48857034922383,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"243","Persoonia","levis",1.27,209.3,2552.5,5.34376862945195,-7.36679474909782,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"244","Persoonia","levis",1.27,209.3,2552.5,5.34376862945195,-7.36679474909782,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"245","Persoonia","sp",1.45,174.5,627.8,5.16192474164248,-5.69909453154289,"Equisetopsida","Asteranae","Asterales","Asteraceae",11
"246","Persoonia","sp",1.45,174.5,627.8,5.16192474164248,-5.69909453154289,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"247","Phillyrea","latifolia",0.95,164.75,239.75,5.10442917338262,-5.58218330253865,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
"248","Philotheca","difformis",0.37,316.6,5.4,5.75763914744691,-3.67490350025796,"Equisetopsida","Rosanae","Sapindales","Rutaceae",10
"249","Phlomis","purpurea",1.68,137.7,814,4.92507740573461,-5.66437277917221,"Equisetopsida","Asteranae","Lamiales","Lamiaceae",4
"250","Photinia","pyrifolia",1.09,68.3,1381.8,4.22390976657674,-7.05878688357259,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"251","Phyllanthus","mocinianus",0.32,26.2,727.5,3.26575941076705,-8.86848256542238,"Equisetopsida","Rosanae","Malpighiales","Euphorbiaceae",12
"252","Phyllota","phylicoides",0.28,137.3,12.2,4.92216831277393,-5.04736730336499,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"253","Pimelea","linifolia",0.5,106.7,35.3,4.67002115830771,-4.95017732505914,"Equisetopsida","Rosanae","Malvales","Thymelaeaceae",7
"254","Pimelea","microcephala",0.49,119.5,39.8,4.78331637137157,-5.11056668804532,"Equisetopsida","Rosanae","Malvales","Thymelaeaceae",7
"255","Pittosporum","bicolor",1.1,135,290.3,4.90527477843843,-5.48029451142193,"Equisetopsida","Asteranae","Apiales","Pittosporaceae",4
"256","Pittosporum","eugenioides",1.53,105.2,1855,4.65586330030361,-6.67510450423285,"Equisetopsida","Asteranae","Apiales","Pittosporaceae",4
"257","Pittosporum","tenuifolium",1.06,134.2,1228.4,4.89933122453758,-6.99692997231872,"Equisetopsida","Asteranae","Apiales","Pittosporaceae",4
"258","Pleiocarpa","bicarpellata",1.9,56.1,5197.8,4.02713581252865,-7.27228296577936,"Equisetopsida","Asteranae","Gentianales","Apocynaceae",5
"259","Polyalthia","australis",2.5,54.3,8823.6,3.99452422693989,-7.25260376524187,"Equisetopsida","Magnolianae","Magnoliales","Annonaceae",7
"260","Pomaderris","apetala",1.48,109.2,1300.7,4.6931810633108,-6.38657368451765,"Equisetopsida","Rosanae","Rosales","Rhamnaceae",5
"261","Pomaderris","ferruginea",1.14,137.3,1069.2,4.92216831277393,-6.71260945945196,"Equisetopsida","Rosanae","Rosales","Rhamnaceae",5
"262","Populus","alba",0.84,102.4,1232.6,4.62888671260541,-7.4655878128177,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"263","Populus","grandidentata",1.48,88.1,3962.92,4.47847253294213,-7.50065223070741,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"264","Populus","tremuloides",1.0275,92.875,1987.775,4.53125450303792,-7.54051386696033,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"265","Posoqueria","latifolia",2.95,120,9279.1,4.78749174278205,-6.97190949761504,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"266","Pouteria","sericea",1.2,94.9,1157.8,4.55282370561588,-6.689633818057,"Equisetopsida","Asteranae","Ericales","Sapotaceae",5
"267","Pouteria","sp",1.5,74.5,5499.9,4.31079912538551,-7.80155497302076,"Equisetopsida","Asteranae","Ericales","Sapotaceae",5
"268","Pouteria","stipitata",0.7,78.3,2405.2,4.36054760299676,-8.49873822704288,"Equisetopsida","Asteranae","Ericales","Sapotaceae",5
"269","Protium","sp",2.5,48.1,15068.7,3.87328217711172,-7.78779356005041,"Equisetopsida","Rosanae","Sapindales","Burseraceae",5
"270","Protium","tenuifolium",1.46,48.8,9837.1,3.8877303128591,-8.43704335972152,"Equisetopsida","Rosanae","Sapindales","Burseraceae",5
"271","Prunus","avium",0.99,45,3177,3.80666248977032,-8.08379330597652,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"272","Prunus","laurocerasus",2.22,130.4,2826.4,4.87060664949255,-6.35174470427656,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"273","Prunus","pensylvanica",1.145,64.9,2694.7,4.17284762371004,-7.62823288588029,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"274","Prunus","serotina",0.988888888888889,60.3777777777778,2065.33333333333,4.10062111965603,-7.6553935140649,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"275","Pseudolmedia","laevis",2,55.7,6728.9,4.01998014693324,-7.42787260090881,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"276","Pseudopanax","arboreus",1.92,176.1,3720.8,5.17105201550216,-6.91704360583051,"Equisetopsida","Asteranae","Apiales","Araliaceae",5
"277","Pseudopanax","crassifolius",2.97,316.1,3050,5.75605861922157,-5.84577296397224,"Equisetopsida","Asteranae","Apiales","Araliaceae",5
"278","Psychotria","sulzneri",1.18,42.2,1463.2,3.74242022104197,-6.95735222012151,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"279","Psychotria","carthagenesis",2.3,41.8,3777.2,3.73289633953071,-6.57092002751871,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"280","Psychotria","horizontalis",1.26,54.7,1905.3,4.00186370942794,-7.09017131355027,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"281","Psychotria","marginata",1,61.5,2232,4.11903717481247,-7.7106533235012,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"282","Pterocarpus","rohrii",0.8,28.5,2312,3.3499040872746,-8.19215533242069,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"283","Pultenaea","juniperina",0.6,130.3,16.1,4.8698394841308,-3.8004705195224,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"284","Pultenaea","obcordata",0.78,94.6,96.2,4.54965747605783,-5.06335207626866,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"285","Quararibea","asterolepis",2.2,43,6293.7,3.76120011569356,-7.1703896913175,"Equisetopsida","Rosanae","Malvales","Malvaceae",9
"286","Quararibea","wittii",2.5,45.5,9338.9,3.8177123259569,-7.30936228751952,"Equisetopsida","Rosanae","Malvales","Malvaceae",9
"287","Quercus","alba",1.30166666666667,72.8333333333333,5846.73333333333,4.28817372586754,-8.14634739045453,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"288","Quercus","alba",0.93,45.6,4486,3.81990771652034,-8.55385810074982,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"289","Quercus","calliprinos",1,175.4,415.45,5.16706907993808,-6.02936227011099,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"290","Quercus","canariensis",1.32,109.6,2830.7,4.69683737451392,-7.39301583667812,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"291","Quercus","coccinea",1.79,90.4,15009.7,4.50424426739813,-8.45202069804689,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"292","Quercus","falcata",1.37,122.2,2952.3,4.8056590467375,-7.36071832689298,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"293","Quercus","geminata",1.20666666666667,190.5,1040.93333333333,5.24965219456676,-6.57214955123889,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"294","Quercus","hemisphaerica",0.833333333333333,111.433333333333,821.466666666667,4.71342650475794,-7.07573447406021,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"295","Quercus","ilicifolia",1.16,59.8,5429.3,4.09100566095659,-8.30272548093755,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"296","Quercus","laevis",1.6,110.8,8941.4,4.70772677431318,-8.15844019696823,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"297","Quercus","laurifolia",1.08666666666667,99.5,1208.96666666667,4.60015764416455,-6.93129146581838,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"298","Quercus","lyrata",0.94,55.3,4809.8,4.01277290852829,-8.60216158962993,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"299","Quercus","michauxii",1.25333333333333,56.1666666666667,7788.33333333333,4.02832346112431,-8.50876882899903,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"300","Quercus","nigra",1.044,95.74,1712.86,4.56163618396436,-7.35980078810068,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"301","Quercus","palustris",1.25,85.9,4979.15,4.45318382899021,-8.0667273700914,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"302","Quercus","phellos",0.86,89.65,892.25,4.49591320005114,-7.09539214183944,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"303","Quercus","phellos",1.3,105.4,2223.7,4.65776263610726,-7.1821992252504,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"304","Quercus","prinus",1.50666666666667,85.2666666666667,6780.9,4.44578360047663,-8.00206570513559,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"305","Quercus","rubra",1.248,71.54,5129.18,4.27025673383087,-8.09961654143934,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"306","Quercus","stellata",1.25,58.3,9787.9,4.06560209335645,-8.74261510529021,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"307","Quercus","suber",0.7,142.4,293.7,4.95863999897788,-6.39590872608204,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"308","Quercus","velutina",1.32,59.6,4271.6,4.0876555740713,-7.80448027010083,"Equisetopsida","Rosanae","Fagales","Fagaceae",24
"309","Randia","laevigata",1.1,38,513.3,3.63758615972639,-6.05024010995761,"Equisetopsida","Asteranae","Gentianales","Rubiaceae",11
"310","Rhododendron","maximum",2.58,194.2,2572.2,5.26888855585722,-5.95693804496493,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"311","Rhododendron","periclymenoides",1.76,139.5,1314.6,4.93806460126142,-6.05066009772935,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"312","Rhododendron","prinophyllum",0.81,44.5,758.5,3.79548918917219,-7.05278486141989,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"313","Robinia","sp",0.86,64.8,666.4,4.17130560335823,-6.8035358703218,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"314","Salix","discolor",1.47,114.2,1529.1,4.73795129722191,-6.56190980443282,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"315","Salix","lucida",1.08,94.4,493.1,4.54754107315146,-6.04678991095782,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
